Designator,Mid X,Mid Y,Rotation,Layer
U119,-178.9993,-31.6992,180.0,top
U12,-230.2057,-68.2752,180.0,top
U120,-178.9993,-39.0144,180.0,top
U121,-178.9993,-46.3296,180.0,top
U122,-178.9993,-53.6448,180.0,top
U123,-178.9993,-60.96,180.0,top
U124,-178.9993,-68.2752,180.0,top
U125,-178.9993,-75.5904,180.0,top
U126,-178.9993,-82.9056,180.0,top
U127,-178.9993,-90.2208,180.0,top
U128,-178.9993,-97.536,180.0,top
U129,-171.6841,12.192,180.0,top
U13,-230.2057,-75.5904,180.0,top
U130,-171.6841,4.8768,180.0,top
U131,-171.6841,-2.4384,180.0,top
U132,-171.6841,-9.7536,180.0,top
U133,-171.6841,-17.0688,180.0,top
U134,-171.6841,-24.384,180.0,top
U135,-171.6841,-31.6992,180.0,top
U136,-171.6841,-39.0144,180.0,top
U137,-171.6841,-46.3296,180.0,top
U138,-171.6841,-53.6448,180.0,top
U139,-171.6841,-60.96,180.0,top
U14,-230.2057,-82.9056,180.0,top
U140,-171.6841,-68.2752,180.0,top
U141,-171.6841,-75.5904,180.0,top
U142,-171.6841,-82.9056,180.0,top
U143,-171.6841,-90.2208,180.0,top
U144,-171.6841,-97.536,180.0,top
U145,-164.3689,12.192,180.0,top
U146,-164.3689,4.8768,180.0,top
U147,-164.3689,-2.4384,180.0,top
U148,-164.3689,-9.7536,180.0,top
U149,-164.3689,-17.0688,180.0,top
U15,-230.2057,-90.2208,180.0,top
U150,-164.3689,-24.384,180.0,top
U151,-164.3689,-31.6992,180.0,top
U152,-164.3689,-39.0144,180.0,top
U153,-164.3689,-46.3296,180.0,top
U154,-164.3689,-53.6448,180.0,top
U155,-164.3689,-60.96,180.0,top
U156,-164.3689,-68.2752,180.0,top
U157,-164.3689,-75.5904,180.0,top
U158,-164.3689,-82.9056,180.0,top
U159,-164.3689,-90.2208,180.0,top
U16,-230.2057,-97.536,180.0,top
U160,-164.3689,-97.536,180.0,top
U161,-157.0537,12.192,180.0,top
U162,-157.0537,4.8768,180.0,top
U163,-157.0537,-2.4384,180.0,top
U164,-157.0537,-9.7536,180.0,top
U165,-157.0537,-17.0688,180.0,top
U166,-157.0537,-24.384,180.0,top
U167,-157.0537,-31.6992,180.0,top
U168,-157.0537,-39.0144,180.0,top
U169,-157.0537,-46.3296,180.0,top
U17,-222.8905,12.192,180.0,top
U170,-157.0537,-53.6448,180.0,top
U171,-157.0537,-60.96,180.0,top
U172,-157.0537,-68.2752,180.0,top
U173,-157.0537,-75.5904,180.0,top
U174,-157.0537,-82.9056,180.0,top
U175,-157.0537,-90.2208,180.0,top
U176,-157.0537,-97.536,180.0,top
U177,-149.7385,12.192,180.0,top
U178,-149.7385,4.8768,180.0,top
U179,-149.7385,-2.4384,180.0,top
U18,-222.8905,4.8768,180.0,top
U180,-149.7385,-9.7536,180.0,top
U181,-149.7385,-17.0688,180.0,top
U182,-149.7385,-24.384,180.0,top
U183,-149.7385,-31.6992,180.0,top
U184,-149.7385,-39.0144,180.0,top
U185,-149.7385,-46.3296,180.0,top
U186,-149.7385,-53.6448,180.0,top
U187,-149.7385,-60.96,180.0,top
U188,-149.7385,-68.2752,180.0,top
U189,-149.7385,-75.5904,180.0,top
U19,-222.8905,-2.4384,180.0,top
U190,-149.7385,-82.9056,180.0,top
U191,-149.7385,-90.2208,180.0,top
U192,-149.7385,-97.536,180.0,top
U193,-142.4233,12.192,180.0,top
U194,-142.4233,4.8768,180.0,top
U195,-142.4233,-2.4384,180.0,top
U196,-142.4233,-9.7536,180.0,top
U197,-142.4233,-17.0688,180.0,top
U198,-142.4233,-24.384,180.0,top
U199,-142.4233,-31.6992,180.0,top
U2,-230.2057,4.8768,180.0,top
U20,-222.8905,-9.7536,180.0,top
U200,-142.4233,-39.0144,180.0,top
U201,-142.4233,-46.3296,180.0,top
U202,-142.4233,-53.6448,180.0,top
U203,-142.4233,-60.96,180.0,top
U204,-142.4233,-68.2752,180.0,top
U205,-142.4233,-75.5904,180.0,top
U206,-142.4233,-82.9056,180.0,top
U207,-142.4233,-90.2208,180.0,top
U208,-142.4233,-97.536,180.0,top
U209,-135.1081,12.192,180.0,top
U21,-222.8905,-17.0688,180.0,top
U210,-135.1081,4.8768,180.0,top
U211,-135.1081,-2.4384,180.0,top
U212,-135.1081,-9.7536,180.0,top
